NC_003522 
NC_008160 
NC_006898 
NC_008161 
NC_008411 
NC_008162 
NC_008071 
NC_008072 
NC_015641 
NC_015640 
NC_015643 
NC_015143 
NC_011160 
NC_000933 
NC_000933 
NC_007224 
NC_007226 
NC_007225 
NC_006902 
NC_008163 
NC_008164 
NC_008165 
NC_009797 
NC_009798 
NC_015642 
NC_015644 
NC_008166 
NC_008159 
NC_010245 
NC_010244 
NC_008167 
NC_011162 
MT318841 
MT318842 
MT318843
 MT318844 
MT318860 
MT318861 
MT318845 
MT318846 
MT318847 
MT318848 
MT318849 
MT318850 
MT318851 
MT318852 
MT318853 
MT318855 
MT318854 
MT318856 
MT318857 
MT318858 
MT318840 
MT318862 
MT318859 
NC_008411.1 
NC_027667.1 
JX023266.1 
MN265369 
NC_008164 
NC_000933.1 
NC_027613 
KP938434 
AF338425.1 
NC_035579.1 
DQ825686.1 
NC_035578.1 
